;Subject;ProlificNo;Age;Sex;check.RESP;BlockCondition;RESP_LTM;CRESP_LTM;TypeLTM;TypeSTM;RESP1;RESP2;RESP3;RESP4;RESP5;RESP6;CRESP1;CRESP2;CRESP3;CRESP4;nWords
3900;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;short;tort;tort;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3901;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;long;;;;Unrelated;mintaj;reka;diament;cebula;NA;NA;mintaj;reka;diament;cebula;4
3902;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;long;;;;Related;lir;dab;platyna;zelki;NA;NA;lir;dab;platyna;zelki;4
3903;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;long;;;;Related;skrzypce;siostra;owal;kolo;NA;NA;skrzypce;siostra;owal;koza;4
3904;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;long;;;;Unrelated;glany;gryf;lilia;drewno;NA;NA;glany;gryf;lilia;techno;4
3905;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;long;owal;owal;Rel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3906;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;long;x;gryf;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3907;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;long;mintaj;mintaj;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3908;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;long;glany;glany;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3909;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;long;diament;diament;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
